PNM ID,Last Name,First Name,Major,Minor,Year,Hometown,Hobbies,College Involvement,High School Involvement
16,Reynolds,Grace,Economics,Studio Art,Freshman,"Baltimore, MD","Snowboarding, Pilates","Product Management Club, Debate Society",National Honor Society
17,Nguyen,Hannah,Architecture,International Relations,Junior,"Newport Beach, CA","Piano, Pilates, Thrifting","Urban Sketching Club, Public Speaking Club",Lacrosse Captain
18,Lopez,Ava,Chemical Engineering,French,Freshman,"Santa Monica, CA","Podcast Hosting, Audio Editing","Museum/Archives Club, Volunteer Tutoring","Student Government President, Cross Country, Choir"
19,Gupta,Grace,Communications,Communication Arts,Freshman,"Chattanooga, TN","Painting, Pickleball","Public Speaking Club, Campus Radio",National Honor Society
20,Rosen,Hazel,Finance,Digital Media,Sophomore,"Raleigh, NC","Vlogging, Cooking","Public Speaking Club, Pre-Law Society","Treasurer, Committee Lead"
21,Rahman,Mia,Psychology,Philosophy,Freshman,"Athens, GA","Bread Making, Chess, Oil Painting","Model UN, Campus Cultural Org",National Honor Society
22,Reynolds,Nina,Digital Media,Data Science,Freshman,"Staten Island, NY","Pilates Reformer, Photo Editing, Cooking","UX Design Club, Art Club, Pre-Law Society",National Honor Society
23,Ivanova,Isla,Health Policy,Philosophy,Freshman,"Queens, NY","Content Creation, Digital Illustration","Supply Chain Association, Professional Development Club",National Honor Society
24,Nguyen,Grace,Supply Chain,Political Science,Sophomore,"Scranton, PA","Thrifting, Pickleball","Club Lacrosse, Data Science Club",Team Captain
25,Montgomery,Leila,Anthropology,Public Policy,Sophomore,"San Antonio, TX","Content Creation, Embroidery","Honors Society, Community Outreach Club","Treasurer, Project Lead"
26,Williams,Meera,Education,Legal Studies,Freshman,"Bethlehem, PA","Skiing, Pilates Reformer","Honors Society, Museum/Archives Club",National Honor Society
27,Williams,Piper,Early Childhood Education,Health Policy,Freshman,"Irvine, CA","Photo Editing, Yoga","Makers Club, Volunteer Tutoring, Film Club",National Honor Society
28,Gupta,Charlotte,Landscape Architecture,Health Policy,Freshman,"Duluth, MN","Calligraphy, Board Games","Public Speaking Club, Student Programming Association",National Honor Society
29,Santos,Iris,Education,Ethics,Sophomore,"Orlando, FL","Bread Making, Reading","Museum/Archives Club, Campus Cultural Org, Accounting Society","Cheerleading Captain, Committee Lead"
30,Carter,Scarlett,German,Digital Media,Freshman,"Charleston, WV","Content Creation, Photography, Crocheting","Student Programming Association, International Affairs Club",National Honor Society
31,Thompson,Zara,International Politics,Journalism,Freshman,"Raleigh, NC","Sustainability Projects, Board Games","Club Volleyball, Club Lacrosse",National Honor Society
32,Levy,Salma,Electrical Engineering,Ethics,Freshman,"Brooklyn, NY","Swimming, Crocheting","Campus Cultural Org, Photography Club",National Honor Society
33,Patel,Leila,Mathematics,Arabic,Sophomore,"Atlanta, GA","Blog Writing, Houseplant Collecting, Film Photography","Data Science Club, THON Committee","Project Lead, Treasurer"
34,Brooks,Emily,History,Journalism,Freshman,"Baltimore, MD","Graphic Design, Oil Painting","Makers Club, Product Management Club, THON Committee",National Honor Society
35,Alvarez,Vivian,Chemistry,Mathematics,Sophomore,"Chattanooga, TN","Kayaking, Snowboarding","Photography Club, Pre-Law Society","Team Captain, National Honor Society"
36,Thorne,Cecilia,Environmental Science,Communication Arts,Sophomore,"El Paso, TX","Pilates Reformer, Gardening","Outing Club, Hackathon Org, Art Club","Committee Lead, Team Captain"
37,Lopez,Clara,Communications,Journalism,Freshman,"Houston, TX","Oil Painting, Vintage Collecting","Women in Business, Club Volleyball",National Honor Society
38,Williams,Stella,Chemical Engineering,Data Science,Sophomore,"Durham, NC","Surfing, Trail Running","Student Government, Professional Development Club, Public Health Club","Project Lead, Committee Lead"
39,Henderson,Ella,Interior Design,Economics,Freshman,"Miami, FL","Gaming, Tennis, Dance","Product Management Club, Mock Trial",National Honor Society
40,Wright,Naomi,Sustainability Studies,Legal Studies,Freshman,"Grand Rapids, MI","Songwriting, Sustainability Projects","Sustainability Club, UX Design Club",National Honor Society
41,Nguyen,Aaliyah,Business Analytics,Human Development,Junior,"Greenville, SC","Crocheting, Tennis, Piano","Campus Radio, Makers Club",Committee Lead
42,Perez,Audrey,Physics,Philosophy,Freshman,"Evanston, IL","Trail Running, Blog Writing","Residence Hall Association, TV/Media Club",National Honor Society
43,Singh,Siyona,Data Science,Legal Studies,Sophomore,"Cambridge, MA","Sudoku, Graphic Design","Public Speaking Club, Pre-Health Society","Treasurer, National Honor Society"
44,Desai,Stella,Education,French,Freshman,"Newport Beach, CA","Journaling, Ukulele","Hackathon Org, Daily Collegian, Wellness Club",National Honor Society
45,Hassan,Lucy,Human Development and Family Studies,Public Policy,Freshman,"Bend, OR","Meal Prepping, Coffee Brewing, Bread Making","Content Creators Club, Business Fraternity, Pre-Health Society",Cheerleading Captain
46,Jones,Lily,Landscape Architecture,Mathematics,Sophomore,"Queens, NY","Yoga, Pilates Reformer","Film Club, Entrepreneurship Club",National Honor Society
47,Kaur,Leila,Chemistry,Art History,Freshman,"West Chester, PA","Volleyball, Paddleboarding","Public Health Club, Outing Club",National Honor Society
48,Alvarez,Clara,Management,Sociology,Sophomore,"Orlando, FL","Film Photography, Indoor Cycling","Wellness Club, Data Science Club, Museum/Archives Club","Team Captain, Project Lead"
49,Castillo,Nina,Interior Design,Philosophy,Freshman,"Calgary, AB","Rock Climbing, Volleyball, Vintage Collecting","Campus Cultural Org, Research Lab Assistant",National Honor Society
50,Smirnov,Olivia,Supply Chain,Mathematics,Freshman,"Reno, NV","Vlogging, Yoga","Women in Business, Mock Trial",National Honor Society
51,Rahman,Aria,Special Education,Entrepreneurship,Freshman,"Hoboken, NJ","Embroidery, Baking","Education Society, Peer Mentor Program","Student Government President, Model UN"
52,Shah,Anya,Public Relations,Health Policy,Freshman,"Des Moines, IA","Audio Editing, Yoga","Mock Trial, Business Fraternity",National Honor Society
53,Chowdhury,Naomi,Business Analytics,Environmental Studies,Freshman,"Omaha, NE","Meal Prepping, Podcast Hosting","Campus Cultural Org, Photography Club",National Honor Society
54,Miller,Sage,Psychology,Political Science,Freshman,"Boulder, CO","Composting, Volleyball","Club Volleyball, Design Club",National Honor Society
55,Hassan,Sage,Cognitive Science,Communication Arts,Sophomore,"Pittsburgh, PA","Paddleboarding, Piano, Poetry","Habitat for Humanity, Honors Society",Committee Lead
56,Chowdhury,Lily,Finance,Chinese,Freshman,"Tucson, AZ","Trail Running, Pilates Reformer","International Affairs Club, Outing Club, Honors Society",National Honor Society
57,Reynolds,Stella,Cognitive Science,Sustainability,Sophomore,"Jersey City, NJ","Pickleball, Chess","Photography Club, Pre-Law Society","Committee Lead, Team Captain"
58,Smirnov,Abigail,Nutritional Sciences,Public Policy,Sophomore,"Park City, UT","Skiing, Swimming, Paddleboarding","Entrepreneurship Club, Club Volleyball",Project Lead
59,Shah,Priya,Management,Art History,Freshman,"Cleveland, OH","Ukulele, Vintage Collecting","UX Design Club, TV/Media Club, Marketing Association",National Honor Society
60,Chen,Piper,Astronomy,Journalism,Freshman,"Hoboken, NJ","Dance, Yoga","TV/Media Club, Art Club",National Honor Society
61,Whitaker,Abigail,Elementary Education,Sociology,Freshman,"Charleston, SC","Gardening, Board Games","Language Exchange Club, Habitat for Humanity",National Honor Society
62,Ivanova,Isla,Chemical Engineering,French,Freshman,"Nashville, TN","Thrifting, Strength Training","Community Outreach Club, Pre-Health Society",National Honor Society
63,Thorne,Naomi,Graphic Design,Computer Science,Freshman,"Lansing, MI","Baking, Film Photography","Product Management Club, Urban Sketching Club, Model UN",National Honor Society
64,Khan,Anika,Marketing,Spanish,Freshman,"Chapel Hill, NC","Photo Editing, Composting","Intramural Soccer, Campus Radio",National Honor Society
65,Williams,Iris,Special Education,Italian,Freshman,"Orlando, FL","Urban Sketching, Kayaking","Sustainability Club, Consulting Club",National Honor Society
66,Anderson,Penelope,Data Science,Cybersecurity,Sophomore,"Colorado Springs, CO","Fashion Styling, Crocheting","Urban Sketching Club, Club Lacrosse","Cheerleading Captain, Committee Lead"
67,Sullivan,Naomi,Interior Design,Art History,Freshman,"Ann Arbor, MI","Swimming, Strength Training, Tennis","Investment Club, Wellness Club","National Honor Society, Cheerleading Captain"
68,Garcia,Violet,Chemistry,Chinese,Sophomore,"Baton Rouge, LA","Poetry, Dance","Student Government, Mock Trial","Treasurer, Team Captain"
69,Whitaker,Hazel,International Studies,Entrepreneurship,Freshman,"Charleston, SC","Urban Sketching, Embroidery, Houseplant Collecting","Habitat for Humanity, Debate Society",National Honor Society
70,Ahmed,Ava,Physics,German,Freshman,"Norwalk, CT","Yoga, Volleyball","Women in Business, TV/Media Club",National Honor Society
71,Wilson,Noor,Health Policy,Ethics,Freshman,"Jersey City, NJ","Sustainability Projects, Rock Climbing","International Affairs Club, Data Science Club",National Honor Society
72,Lee,Grace,Nursing,Economics,Junior,"Grand Rapids, MI","Snowboarding, Pilates Reformer, Sustainability Projects","Public Health Club, Product Management Club","Lacrosse Captain, Project Lead"
73,O'Connor,Sloane,Electrical Engineering,International Studies,Freshman,"Queens, NY","Bread Making, Barre, Surfing","Peer Mentor Program, Design Club, Intramural Soccer",National Honor Society
74,Singh,Abigail,Finance,Legal Studies,Freshman,"Wilmington, DE","Composting, Paddleboarding","Public Health Club, Women in Business",National Honor Society
75,Rahman,Clara,Finance,Graphic Design,Freshman,"Media, PA","Creative Writing, Fashion Styling","Film Club, Museum/Archives Club",National Honor Society
76,Chen,Sofia,Landscape Architecture,Sustainability,Freshman,"Bethlehem, PA","Journaling, Kayaking","Data Science Club, DEI Council",National Honor Society
77,Bennett,Emma,Graphic Design,Sociology,Freshman,"Atlanta, GA","Houseplant Collecting, Podcast Hosting, Ukulele","Women in Business, Supply Chain Association, International Affairs Club",National Honor Society
78,Sullivan,Mia,Sociology,Art History,Freshman,"Silver Spring, MD","Oil Painting, Embroidery","UX Design Club, Data Science Club",National Honor Society
79,Hassan,Juliet,Management,Environmental Studies,Freshman,"Cambridge, MA","Reading, Rock Climbing","Wellness Club, Product Management Club, Outing Club",National Honor Society
80,Wright,Layla,Energy Engineering,Studio Art,Sophomore,"West Chester, PA","Audio Editing, Content Creation","Community Outreach Club, Public Speaking Club",Treasurer
81,Williams,Siyona,Health Policy,Entrepreneurship,Sophomore,"San Diego, CA","Crocheting, Reading","Club Volleyball, Outing Club, Museum/Archives Club",Committee Lead
82,Chowdhury,Quinn,Environmental Science,Digital Media,Freshman,"Syracuse, NY","Composting, Calligraphy, Barre","Mock Trial, International Affairs Club",National Honor Society
83,Davis,Zara,Applied Mathematics,International Studies,Freshman,"Miami, FL","Painting, Fashion Styling, Volleyball","Museum/Archives Club, Volunteer Tutoring, Case Competition Team",National Honor Society
84,Chowdhury,Fatima,Special Education,Energy Business,Freshman,"Bloomington, IN","Bread Making, Vintage Collecting","Student Programming Association, Supply Chain Association, Makers Club",National Honor Society
85,Cohen,Quinn,Mechanical Engineering,Spanish,Freshman,"Toronto, ON","Hiking, Bread Making","Peer Mentor Program, Pre-Health Society",National Honor Society
86,Vance,Anika,Early Childhood Education,Political Science,Freshman,"Eugene, OR","Photography, Songwriting, Ukulele","Intramural Soccer, Supply Chain Association, Habitat for Humanity",National Honor Society
87,Gupta,Nina,Education,Graphic Design,Freshman,"Saint Paul, MN","Dance, Painting","Outing Club, Language Exchange Club",National Honor Society
88,Martin,Anya,Chinese,Business,Freshman,"Miami, FL","Oil Painting, Photography, Fashion Styling","THON Committee, TV/Media Club",National Honor Society
89,Williams,Brooke,Marketing,French,Freshman,"Chapel Hill, NC","Meal Prepping, Audio Editing","Wellness Club, Campus Cultural Org",National Honor Society
90,White,Yasmin,Graphic Design,Global Studies,Freshman,"Conshohocken, PA","Creative Writing, Houseplant Collecting","Intramural Soccer, Case Competition Team",National Honor Society
91,Mehta,Salma,Mathematics,Computer Science,Freshman,"Nashville, TN","Sustainability Projects, Paddleboarding","Museum/Archives Club, Urban Sketching Club",National Honor Society
92,Kapoor,Leila,Italian,Sociology,Junior,"Dallas, TX","Crocheting, Snowboarding","Pre-Law Society, Volunteer Tutoring","National Honor Society, Committee Lead"
93,Levy,Ella,Nursing,Film Studies,Sophomore,"Oak Park, IL","Fashion Styling, Oil Painting","Urban Sketching Club, Public Health Club, Club Lacrosse",National Honor Society
94,Wilson,Scarlett,Broadcast Journalism,Sociology,Freshman,"Santa Barbara, CA","Baking, Tennis, Watercolor","DEI Council, Pre-Law Society",National Honor Society
95,Miller,Harper,Chinese,Business,Freshman,"Louisville, KY","Digital Illustration, Trail Running, Content Creation","Research Lab Assistant, Investment Club",Cheerleading Captain
96,Desai,Amelia,Italian,Ethics,Sophomore,"Spokane, WA","Composting, Oil Painting","Public Health Club, Art Club, Accounting Society",Team Captain
97,Chen,Layla,Nursing,French,Junior,"Calgary, AB","Vintage Collecting, Thrifting","Professional Development Club, Film Club",Project Lead
98,Alvarez,Fatima,Physics,Chinese,Sophomore,"Fort Collins, CO","Graphic Design, Dance, Cooking","Club Volleyball, Design Club","Project Lead, National Honor Society"
99,Foster,Sofia,Human Development and Family Studies,Chinese,Freshman,"Morristown, NJ","Creative Writing, Snowboarding","Peer Mentor Program, Daily Collegian, Sustainability Club",National Honor Society
100,Beaumont,Freya,Italian,Journalism,Freshman,"Boston, MA","Photography, Trail Running","Community Outreach Club, Mock Trial",National Honor Society
101,Harris,Evelyn,Astronomy,Art History,Freshman,"Boston, MA","Photo Editing, Bread Making","Film Club, Model UN",National Honor Society
102,Beaumont,Grace,Secondary Education,Sustainability,Freshman,"Colorado Springs, CO","Piano, Trail Running, Houseplant Collecting","Design Club, Consulting Club, Pre-Law Society",National Honor Society
103,Khan,Zara,Political Science,Business,Freshman,"Detroit, MI","Dance, Guitar","TV/Media Club, Intramural Soccer, Film Club",National Honor Society
104,Wilson,Juliet,Broadcast Journalism,Statistics,Freshman,"Conshohocken, PA","Film Photography, Sudoku","Campus Cultural Org, Habitat for Humanity, Club Lacrosse",National Honor Society
105,Kim,Salma,Chemistry,Political Science,Sophomore,"Media, PA","Fashion Styling, Volleyball, Poetry","Entrepreneurship Club, Orientation Leader Program",Project Lead
106,Mehta,Meera,Rehabilitation and Human Services,Legal Studies,Freshman,"Reading, PA","Coffee Brewing, Vlogging, Watercolor","DEI Council, Supply Chain Association",National Honor Society
107,Lee,Cecilia,Environmental Science,Political Science,Freshman,"Colorado Springs, CO","Pickleball, Crocheting","Entrepreneurship Club, Club Lacrosse, Volunteer Tutoring",National Honor Society
108,Kapoor,Isabella,Biochemistry,Global Studies,Freshman,"Tampa, FL","Audio Editing, Chess","Residence Hall Association, Debate Society",National Honor Society
109,Martin,Penelope,Biomedical Engineering,Cybersecurity,Freshman,"Saint Paul, MN","Songwriting, Crocheting","DEI Council, Residence Hall Association, Pre-Health Society",National Honor Society
110,Khan,Camille,Nursing,Journalism,Sophomore,"Lancaster, PA","Baking, Gaming, Creative Writing","Supply Chain Association, Makers Club",National Honor Society
111,Jones,Freya,Art History,Arabic,Freshman,"Norwalk, CT","Thrifting, Meal Prepping","Photography Club, Hackathon Org",National Honor Society
112,O'Connor,Scarlett,Spanish,Public Policy,Freshman,"Phoenixville, PA","Meal Prepping, Snowboarding","Data Science Club, Volunteer Tutoring, Outing Club",National Honor Society
113,Shah,Ella,Business Analytics,Film Studies,Freshman,"Brooklyn, NY","Sewing, Swimming","Intramural Soccer, Photography Club",National Honor Society
114,White,Lily,Finance,Business,Freshman,"Milwaukee, WI","Sudoku, Journaling, Guitar","Club Lacrosse, Makers Club",National Honor Society
115,Perez,Salma,Arabic,Film Studies,Freshman,"Palo Alto, CA","Podcast Hosting, Meal Prepping, Fashion Styling","UX Design Club, TV/Media Club",National Honor Society
116,Shah,Madison,Supply Chain,Global Studies,Sophomore,"Rockville, MD","Volleyball, Guitar","Volunteer Tutoring, Honors Society",Project Lead
117,Petrov,Sophia,Italian,Criminology,Freshman,"Newport Beach, CA","Cooking, Composting","Pre-Health Society, Design Club, Business Fraternity",National Honor Society
118,Alvarez,Hazel,Criminology,Studio Art,Freshman,"Bethlehem, PA","Skiing, Houseplant Collecting","Women in Business, Language Exchange Club, Business Fraternity",National Honor Society
119,Hayes,Ella,Statistics,Studio Art,Freshman,"Virginia Beach, VA","Audio Editing, Baking","Pre-Law Society, Business Fraternity",National Honor Society
120,Gupta,Grace,Physics,Entrepreneurship,Freshman,"Durham, NC","Rock Climbing, Pilates","Supply Chain Association, Museum/Archives Club",National Honor Society
121,Rivera,Ella,French,Human Development,Freshman,"Tampa, FL","Trail Running, Strength Training","TV/Media Club, Makers Club",Cheerleading Captain
122,Kaur,Anika,Astronomy,Chinese,Freshman,"Stamford, CT","Swimming, Skiing","Model UN, Marketing Association",National Honor Society
123,Jones,Lily,Film and Media Studies,Cybersecurity,Freshman,"Dallas, TX","Videography, Embroidery, Gardening","Language Exchange Club, Habitat for Humanity, Public Health Club",National Honor Society
124,Kuznetsova,Camille,Marketing,Public Policy,Freshman,"Minneapolis, MN","Yoga, Swimming, Chess","Intramural Soccer, TV/Media Club","National Honor Society, Student Government President"
125,Shah,Blair,Italian,Human Development,Freshman,"Pasadena, CA","Journaling, Embroidery","Accounting Society, Business Fraternity",National Honor Society
126,Thorne,Leila,Communications,Philosophy,Freshman,"West Chester, PA","Journaling, Cooking, Guitar","Pre-Health Society, Language Exchange Club, Club Lacrosse",National Honor Society
127,Rivera,Sloane,Statistics,International Studies,Freshman,"Indianapolis, IN","Bread Making, Graphic Design, Songwriting","TV/Media Club, Pre-Health Society, Mock Trial",National Honor Society
128,Kuznetsova,Sage,Chemistry,Human Development,Freshman,"Wilmington, DE","Tennis, Piano","Film Club, Marketing Association",National Honor Society
129,Kuznetsova,Iris,Anthropology,German,Sophomore,"Charlottesville, VA","Chess, Blog Writing, Painting","Accounting Society, Film Club","Team Captain, Project Lead"
130,Sanders,Willow,Mechanical Engineering,Chinese,Junior,"Boston, MA","Pickleball, Creative Writing","Honors Society, Model UN, Data Science Club","Committee Lead, Lacrosse Captain"
131,Foster,Grace,Journalism,Computer Science,Freshman,"Portland, OR","Houseplant Collecting, Photography","Habitat for Humanity, Product Management Club",National Honor Society
132,Vance,Lily,Supply Chain,Graphic Design,Freshman,"Irving, TX","Sustainability Projects, Coffee Brewing","Accounting Society, Women in Business",National Honor Society
133,Petrov,Isla,Business Analytics,Graphic Design,Sophomore,"Dover, DE","Surfing, Calligraphy","Student Programming Association, Pre-Health Society","National Honor Society, Yearbook Editor"
134,Foster,Rowan,Film and Media Studies,Sustainability,Junior,"Oakland, CA","Blog Writing, Skiing, Volleyball","Daily Collegian, UX Design Club","Cheerleading Captain, Project Lead"
135,Thompson,Violet,Political Science,Mathematics,Sophomore,"Knoxville, TN","Gaming, Vintage Collecting, Coffee Brewing","Design Club, Urban Sketching Club",Team Captain
136,Sullivan,Zoey,Accounting,Environmental Studies,Freshman,"Durham, NC","Photo Editing, Urban Sketching","Campus Radio, Club Volleyball",National Honor Society
137,Rahman,Camille,Philosophy,Computer Science,Freshman,"El Paso, TX","Cooking, Calligraphy","Content Creators Club, Pre-Law Society, Club Volleyball",National Honor Society
138,Ahmed,Evelyn,Chemistry,Sociology,Freshman,"Montreal, QC","Graphic Design, Board Games","Campus Radio, Wellness Club, Film Club",National Honor Society
139,Cohen,Camille,Biology,Philosophy,Freshman,"San Jose, CA","Coffee Brewing, Choir Singing, Piano","Orientation Leader Program, Accounting Society",National Honor Society
140,Hayes,Noor,Finance,Health Policy,Freshman,"Pasadena, CA","Ukulele, Poetry","Outing Club, Accounting Society, Pre-Health Society",National Honor Society
141,O'Connor,Olivia,Mechanical Engineering,Studio Art,Freshman,"Media, PA","Pilates, Pickleball, Snowboarding","Daily Collegian, Rocketry Club",National Honor Society
142,Miller,Vivian,Mathematics,Communication Arts,Freshman,"San Francisco, CA","Sustainability Projects, Paddleboarding","Habitat for Humanity, Residence Hall Association",National Honor Society
143,Shah,Salma,Global and International Studies,Studio Art,Freshman,"Silver Spring, MD","Poetry, Watercolor","Consulting Club, Peer Mentor Program",National Honor Society
144,Sterling,Grace,Criminology,Cybersecurity,Freshman,"Lancaster, PA","Audio Editing, Gaming","THON Committee, Case Competition Team, Wellness Club",National Honor Society
145,Ivanova,Nora,Biomedical Engineering,Psychology,Freshman,"Memphis, TN","Embroidery, Tennis","Art Club, Investment Club, Urban Sketching Club",National Honor Society
146,Taylor,Iris,Digital Media,Computer Science,Freshman,"Las Vegas, NV","Tennis, Meal Prepping, Houseplant Collecting","Product Management Club, Art Club, Daily Collegian",National Honor Society
147,Cohen,Piper,Secondary Education,Graphic Design,Freshman,"Chicago, IL","Vintage Collecting, Piano","Consulting Club, Case Competition Team",National Honor Society
148,Moore,Siyona,Chinese,Psychology,Freshman,"Chapel Hill, NC","Oil Painting, Sustainability Projects","Data Science Club, Marketing Association",National Honor Society
149,Beaumont,Aurora,Kinesiology,Data Science,Sophomore,"Alexandria, VA","Sudoku, Composting, Ukulele","Makers Club, Peer Mentor Program",Committee Lead
150,Wright,Mariam,Journalism,International Relations,Freshman,"Morgantown, WV","Painting, Fashion Styling, Vlogging","Makers Club, Art Club",National Honor Society
151,White,Amelia,Astronomy,Global Studies,Sophomore,"Grand Rapids, MI","Graphic Design, Yoga","Peer Mentor Program, Model UN, Sustainability Club","Project Lead, Committee Lead"
152,Martinez,Rowan,History,Journalism,Freshman,"Raleigh, NC","Ukulele, Sustainability Projects","Investment Club, Case Competition Team, Club Volleyball",National Honor Society
153,Garcia,Evelyn,Global and International Studies,Energy Business,Freshman,"San Francisco, CA","Dance, Pilates, Guitar","THON Committee, DEI Council",National Honor Society
154,Nagiub,Ava,Management,Mathematics,Freshman,"Houston, TX","Pilates, Gardening","Debate Society, Language Exchange Club, Content Creators Club","National Honor Society, Student Government President, Dance Team"
155,Singh,Corrina,Film and Media Studies,Statistics,Freshman,"St. Louis, MO","Rock Climbing, Tennis","Public Speaking Club, Sustainability Club",National Honor Society
156,Chowdhury,Freya,Biochemistry,Film Studies,Junior,"San Antonio, TX","Film Photography, Board Games, Photography","Campus Cultural Org, Club Lacrosse",Team Captain
157,Davis,Vivian,Astronomy,Computer Science,Freshman,"Newark, NJ","Blog Writing, Kayaking","International Affairs Club, Wellness Club","National Honor Society, Student Government President"
158,Santos,Leila,Public Relations,Data Science,Sophomore,"Savannah, GA","Choir Singing, Composting, Yoga","Outing Club, Women in Business",Cheerleading Captain
159,Anderson,Olivia,Landscape Architecture,Criminology,Freshman,"Santa Monica, CA","Gaming, Snowboarding","Accounting Society, Hackathon Org, Pre-Health Society",National Honor Society
160,Beaumont,Amelia,Early Childhood Education,Spanish,Sophomore,"Columbus, OH","Fashion Styling, Gardening, Dance","Product Management Club, Wellness Club, Investment Club","Team Captain, Committee Lead"
161,Brown,Lily,Kinesiology,Studio Art,Freshman,"Santa Barbara, CA","Urban Sketching, Strength Training, Fashion Styling","Entrepreneurship Club, Outing Club, Professional Development Club",National Honor Society
162,Davis,Emily,Nutritional Sciences,Global Studies,Freshman,"Providence, RI","Volleyball, Content Creation","Hackathon Org, Club Volleyball",National Honor Society
163,Martin,Yasmin,German,Studio Art,Freshman,"Worcester, MA","Ukulele, Strength Training","Design Club, Intramural Soccer, Business Fraternity",National Honor Society
164,Kuznetsova,Audrey,Arabic,Criminology,Freshman,"Newark, NJ","Videography, Content Creation","Campus Radio, Student Programming Association",National Honor Society
165,Moore,Iris,Chemistry,Cybersecurity,Freshman,"Durham, NC","Houseplant Collecting, Blog Writing, Audio Editing","Peer Mentor Program, Daily Collegian, Habitat for Humanity",National Honor Society
166,Davis,Rowan,Statistics,Digital Media,Freshman,"Reno, NV","Content Creation, Painting","Model UN, Orientation Leader Program, TV/Media Club",National Honor Society
167,Lewis,Audrey,Graphic Design,Journalism,Freshman,"Madison, WI","Indoor Cycling, Pickleball","Orientation Leader Program, Museum/Archives Club, Film Club",National Honor Society
168,Murphy,Fatima,Architecture,Cybersecurity,Sophomore,"Duluth, MN","Blog Writing, Swimming, Houseplant Collecting","Honors Society, Professional Development Club",Team Captain
169,Clark,Anya,International Studies,Human Development,Sophomore,"Fort Wayne, IN","Yoga, Sewing, Dance","Debate Society, Intramural Soccer",Project Lead
170,Garcia,Naomi,Education,International Studies,Junior,"St. Louis, MO","Hiking, Rock Climbing","Case Competition Team, Photography Club","National Honor Society, Team Captain"
171,Castillo,Riya,Management,Digital Media,Junior,"Scottsdale, AZ","Vlogging, Graphic Design","Habitat for Humanity, Mock Trial","National Honor Society, Team Captain"
172,Murphy,Sofia,Chemistry,Digital Media,Freshman,"Des Moines, IA","Board Games, Creative Writing, Painting","Business Fraternity, Pre-Health Society",National Honor Society
173,Garcia,Audrey,Arabic,Political Science,Freshman,"Huntsville, AL","Reading, Dance, Poetry","Outing Club, Hackathon Org",National Honor Society
174,Martinez,Yasmin,Special Education,Journalism,Freshman,"Baltimore, MD","Videography, Vintage Collecting","Intramural Soccer, Club Lacrosse, THON Committee",National Honor Society
175,Kapoor,Aria,Applied Mathematics,Entrepreneurship,Freshman,"Denver, CO","Dance, Houseplant Collecting, Painting","Product Management Club, International Affairs Club, UX Design Club",National Honor Society
176,Kim,Iris,Biochemistry,Psychology,Freshman,"Morgantown, WV","Indoor Cycling, Meal Prepping","Debate Society, Student Programming Association",National Honor Society
